"gas_day","region_code","gas_cons_mcm","rec_added"
2023-10-05,AT,14.28,2023-10-16 18:10:06.240 +0300
2023-10-04,FR,64.98,2024-01-13 18:10:27.867 +0300
2023-10-04,AT,9.98,2023-10-13 18:10:22.069 +0300
2023-10-04,CZ,28.6395238,2023-10-06 03:00:27.000 +0300
2023-10-03,FR,56.76,2024-01-12 18:10:24.924 +0300
2023-10-03,AT,12.81,2023-10-13 18:10:16.101 +0300
2023-10-03,CZ,30.3542858,2023-10-05 03:00:58.000 +0300
2023-10-02,FR,60.76,2024-01-10 18:10:28.855 +0300
2023-10-02,AT,5.05,2023-10-13 18:10:08.756 +0300
2023-10-02,CZ,29.0771428,2023-10-04 03:00:30.000 +0300
2023-10-01,FR,46.65,2024-01-10 18:10:28.855 +0300
2023-10-01,AT,2.77,2023-10-12 18:10:07.546 +0300
2023-10-01,CZ,24.7671428,2023-10-03 03:00:33.000 +0300
2023-09-30,FR,47.69,2024-01-09 18:10:18.432 +0300
2023-09-30,CZ,8.2523809,2023-10-20 03:00:59.000 +0300
2023-09-30,AT,2.79,2023-10-11 18:10:07.484 +0300
2023-09-29,FR,58.25,2024-01-08 18:10:15.596 +0300
2023-09-29,AT,6.34,2023-10-10 18:10:07.846 +0300
2023-09-29,CZ,8.0404761,2023-10-01 03:00:34.000 +0300
2023-09-28,FR,59.92,2024-01-07 18:10:19.232 +0300
2023-09-28,AT,5.47,2023-10-08 18:10:17.385 +0300
2023-09-28,CZ,10.9804761,2023-09-30 03:00:39.000 +0300
2023-09-27,FR,60.46,2024-01-06 18:10:21.402 +0300
2023-09-27,CZ,11.3028571,2023-10-20 03:00:59.000 +0300
2023-09-27,AT,12.81,2023-10-08 18:10:10.343 +0300
2023-09-26,FR,61.13,2024-01-04 18:10:22.730 +0300
2023-09-26,CZ,8.7233333,2023-10-20 03:00:59.000 +0300
2023-09-26,AT,20.85,2023-10-07 18:10:07.418 +0300
2023-09-25,FR,62.88,2024-01-04 18:10:22.730 +0300
2023-09-25,AT,12.39,2023-10-06 18:10:05.663 +0300
2023-09-25,CZ,10.7076190,2023-09-27 03:00:26.000 +0300
2023-09-24,FR,45.09,2024-01-03 18:10:25.618 +0300
2023-09-24,AT,6.80,2023-10-05 18:10:06.892 +0300
2023-09-24,CZ,10.6871428,2023-09-26 03:00:27.000 +0300
2023-09-23,FR,46.89,2024-01-02 18:10:23.114 +0300
2023-09-23,AT,5.17,2023-10-04 18:10:07.301 +0300
2023-09-23,CZ,10.1157143,2023-09-25 03:01:01.000 +0300
2023-09-22,FR,58.01,2024-01-01 18:10:24.979 +0300
2023-09-22,AT,2.02,2023-10-03 18:10:09.030 +0300
2023-09-22,CZ,10.0252381,2023-09-24 03:00:24.000 +0300
2023-09-21,FR,57.13,2023-12-31 18:10:25.137 +0300
2023-09-21,AT,3.80,2023-10-02 18:10:08.955 +0300
2023-09-21,CZ,9.7076190,2023-09-23 03:00:19.000 +0300
2023-09-20,FR,52.80,2023-12-30 18:10:24.393 +0300
2023-09-20,AT,11.32,2023-09-30 18:10:18.525 +0300
2023-09-20,CZ,9.7947619,2023-09-22 03:00:24.000 +0300
2023-09-19,FR,52.19,2023-12-29 18:10:43.275 +0300
2023-09-19,CZ,8.6242858,2023-10-20 03:00:59.000 +0300
2023-09-19,AT,8.85,2023-09-30 18:10:10.200 +0300
2023-09-18,FR,51.22,2023-12-28 18:10:22.664 +0300
2023-09-18,AT,10.87,2023-09-29 18:10:07.144 +0300
2023-09-18,CZ,10.5438095,2023-09-20 03:00:51.000 +0300
2023-09-17,FR,39.31,2023-12-27 18:10:25.575 +0300
2023-09-17,AT,3.14,2023-09-28 18:10:08.759 +0300
