"date_actual","region_name","date_forecast","day_avg_temp","is_fact","doc_date"
2023-12-20,Франция,2023-12-14,6.00,false,2023-12-14
2023-12-19,Австрия,,1.00,true,2023-12-20
2023-12-19,Германия,,4.00,true,2023-12-20
2023-12-19,Франция,,4.00,true,2023-12-20
2023-12-19,Австрия,2023-12-19,2.00,false,2023-12-19
2023-12-19,Германия,2023-12-19,4.00,false,2023-12-19
2023-12-19,Франция,2023-12-19,4.00,false,2023-12-19
2023-12-19,Австрия,2023-12-18,3.00,false,2023-12-18
2023-12-19,Германия,2023-12-18,4.00,false,2023-12-18
2023-12-19,Франция,2023-12-18,5.00,false,2023-12-18
2023-12-19,Австрия,2023-12-17,3.00,false,2023-12-17
2023-12-19,Германия,2023-12-17,5.00,false,2023-12-17
2023-12-19,Франция,2023-12-17,5.00,false,2023-12-17
2023-12-19,Австрия,2023-12-16,4.00,false,2023-12-16
2023-12-19,Германия,2023-12-16,4.00,false,2023-12-16
2023-12-19,Франция,2023-12-16,5.00,false,2023-12-16
2023-12-19,Австрия,2023-12-15,4.00,false,2023-12-15
2023-12-19,Германия,2023-12-15,6.00,false,2023-12-15
2023-12-19,Франция,2023-12-15,5.00,false,2023-12-15
2023-12-19,Австрия,2023-12-14,5.00,false,2023-12-14
2023-12-19,Германия,2023-12-14,5.00,false,2023-12-14
2023-12-19,Франция,2023-12-14,5.00,false,2023-12-14
2023-12-19,Австрия,2023-12-13,5.00,false,2023-12-13
2023-12-19,Германия,2023-12-13,5.00,false,2023-12-13
2023-12-19,Франция,2023-12-13,5.00,false,2023-12-13
2023-12-18,Австрия,,1.00,true,2023-12-19
2023-12-18,Германия,,4.00,true,2023-12-19
2023-12-18,Франция,,3.00,true,2023-12-19
2023-12-18,Австрия,2023-12-18,2.00,false,2023-12-18
2023-12-18,Германия,2023-12-18,4.00,false,2023-12-18
2023-12-18,Франция,2023-12-18,3.00,false,2023-12-18
2023-12-18,Австрия,2023-12-17,3.00,false,2023-12-17
2023-12-18,Германия,2023-12-17,4.00,false,2023-12-17
2023-12-18,Франция,2023-12-17,4.00,false,2023-12-17
2023-12-18,Австрия,2023-12-16,3.00,false,2023-12-16
2023-12-18,Германия,2023-12-16,4.00,false,2023-12-16
2023-12-18,Франция,2023-12-16,4.00,false,2023-12-16
2023-12-18,Австрия,2023-12-15,4.00,false,2023-12-15
2023-12-18,Германия,2023-12-15,5.00,false,2023-12-15
2023-12-18,Франция,2023-12-15,4.00,false,2023-12-15
2023-12-18,Австрия,2023-12-14,4.00,false,2023-12-14
2023-12-18,Германия,2023-12-14,5.00,false,2023-12-14
2023-12-18,Франция,2023-12-14,4.00,false,2023-12-14
2023-12-18,Австрия,2023-12-13,4.00,false,2023-12-13
2023-12-18,Германия,2023-12-13,6.00,false,2023-12-13
